pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,forage_ctrl_cp_hv1,forage_trt_cp_hv1,uom_cp,livestock_ctrl_milk1,livestock_trt_milk1,livestock_ctrl_milk2,livestock_trt_milk2,uom_milk,livestock_ctrl_lwg1,livestock_trt_lwg1,livestock_ctrl_lwg2,livestock_trt_lwg2,uom_lwg,livestock_ctrl_dmi,livestock_trt_dmi,uom_dmi,livestock_ctrl_manure,livestock_trt_manure,uom_manure,livestock_ctrl_n_manure,livestock_trt_n_manure,uom_n_manure,econ_ctrl_rev_s1,econ_trt_rev_s1,uom_rev,usd_exchange_rate
25,1,1,3,"Kariuki, J., Tamminga, S., Gachuri, C., Gitau, G., Muia, J.",2001,Intake and rumen degradation in cattle fed Napier grass (Pennisetum purpureum) supplemented with various levels of Desmodium intortum and Ipomoea batatus vines,South African Journal of Animal Science,East Africa,Feeding trial,Kenya,Naivasha,Urban,Tropic - cool / subhumid,4,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Desmodium intortum,,,,,,,,,,,,,,,7.8,8.7,kgDM/day/cow,,,,,,,,,,
25,1,1,4,"Kariuki, J., Tamminga, S., Gachuri, C., Gitau, G., Muia, J.",2001,Intake and rumen degradation in cattle fed Napier grass (Pennisetum purpureum) supplemented with various levels of Desmodium intortum and Ipomoea batatus vines,South African Journal of Animal Science,East Africa,Feeding trial,Kenya,Naivasha,Urban,Tropic - cool / subhumid,4,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Desmodium intortum,,,,,,,,,,,,,,,7.8,9.4,kgDM/day/cow,,,,,,,,,,
26,1,1,2,"Kariuki, J., Gitau, G., Gachuiri, C., Tamminga, S., Muia, J.",1999,"Effect of supplementing napier grass with desmodium and lucerne on DM, CP and NDF intake and weight gains in dairy heifers",Livestock Production Science,East Africa,Feeding trial,Kenya,Naivasha,Urban,Tropic - cool / subhumid,16,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Desmodium intortum,,,,,,,,,,0.41,0.45,,,kg/day,5.8,6.9,kgDM/day,,,,,,,,,,
26,1,1,3,"Kariuki, J., Gitau, G., Gachuiri, C., Tamminga, S., Muia, J.",1999,"Effect of supplementing napier grass with desmodium and lucerne on DM, CP and NDF intake and weight gains in dairy heifers",Livestock Production Science,East Africa,Feeding trial,Kenya,Naivasha,Urban,Tropic - cool / subhumid,16,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Medicago sativa,,,,,,,,,,0.41,0.52,,,kg/day,5.8,7.1,kgDM/day,,,,,,,,,,
26,1,1,4,"Kariuki, J., Gitau, G., Gachuiri, C., Tamminga, S., Muia, J.",1999,"Effect of supplementing napier grass with desmodium and lucerne on DM, CP and NDF intake and weight gains in dairy heifers",Livestock Production Science,East Africa,Feeding trial,Kenya,Naivasha,Urban,Tropic - cool / subhumid,16,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Desmodium intortum,,,,,,,,,,0.41,0.42,,,kg/day,5.8,6.4,kgDM/day,,,,,,,,,,
43,1,2,2,"Ruto, C., Muyekho, F., Rono, S., Onyango, R., Bunyatta, D., Nyambati, E.",2000,"Participatory evaluation of the production and utilisation of improved forages under different fertiliser regimes, Keiyo district","KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,Keiyo District,Mixed Rainfed Temperate,Tropic - cool / subhumid,3,Improved feeding regime,Grazing on natural pasture,Herbaceous legume,Desmodium,Rhodes grass,,,,5.1,4.8,2.3,3.3,l/day(yr1&2),,,,,,,,,,,,,,,,,,
43,1,2,3,"Ruto, C., Muyekho, F., Rono, S., Onyango, R., Bunyatta, D., Nyambati, E.",2000,"Participatory evaluation of the production and utilisation of improved forages under different fertiliser regimes, Keiyo district","KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,Keiyo District,Mixed Rainfed Temperate,Tropic - cool / subhumid,3,Improved feeding regime,Grazing on natural pasture,Herbaceous legume,Desmodium,Pennisetum purpureum,,,,5.1,4.8,2.3,2.5,l/day(yr1&2),,,,,,,,,,,,,,,,,,
51,1,1,2,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,12,Improved feeding regime,veld (free ranging),Herbaceous legume,Mucuna pruriens,,,,,,,,,,280,300000,,,g/2months(drywinterseason),,,,,,,,,,,,,
51,1,1,3,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,12,Improved feeding regime,veld (free ranging),Herbaceous legume,Mucuna pruriens,,,,,,,,,,280,320000,,,g/2months(drywinterseason),,,,,,,,,,,,,
51,1,1,4,"Murungweni, C., Mabuku, O., Manyawu, G.",2004,"Mucuna, Lablab and Paprika Calyx as substitutes for commercial protein sources used for dairy and pen-fattening diets  by smallholder farmers in Zimbabwe",In: Whitebread E. and Pengelly B. (2004). Tropical legumes for sustainable farming systems in Southern Africa and Australia,Southern Africa,Feeding trial,Zimbabwe,Wedza,Mixed Rainfed Arid,Tropic - cool / semiarid,12,Improved feeding regime,veld (free ranging),Herbaceous legume,Mucuna pruriens,,,,,,,,,,280,320000,,,g/2months(drywinterseason),,,,,,,,,,,,,
