"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"6.01.05","6.01","Chicory roots","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-01-05"
"6.01.90","6.01","Other stimulant crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-01-90"
"6.02","6","Spice and aromatic crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02"
"6.02.01","6.02","Temporary spice and aromatic crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-01"
"6.02.01.01","6.02.01","Chillies and peppers (capsicum spp.)","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-01-01"
"6.02.01.02","6.02.01","Anise, badian, and fennel","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-01-02"
"6.02.01.90","6.02.01","Other temporary spice crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-01-90"
"6.02.02","6.02","Permanent spice and aromatic crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02"
"6.02.02.01","6.02.02","Pepper (piper spp.)","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-01"
"6.02.02.02","6.02.02","Nutmeg, mace, cardamoms","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-02"
"6.02.02.03","6.02.02","Cinnamon (canella)","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-03"
"6.02.02.04","6.02.02","Cloves","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-04"
"6.02.02.05","6.02.02","Ginger","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-05"
"6.02.02.06","6.02.02","Vanilla","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-06"
"6.02.02.07","6.02.02","Hops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-07"
"6.02.02.90","6.02.02","Other permanent spice and aromatic crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-02-02-90"
"7","","Leguminous crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7"
"7.01","7","Beans","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-01"
"7.02","7","Broad beans","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-02"
"7.03","7","Chickpeas","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-03"
"7.04","7","Cowpeas","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-04"
"7.05","7","Lentils","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-05"
"7.06","7","Lupins","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-06"
"7.07","7","Peas","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-07"
"7.08","7","Pigeon peas","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-08"
"7.09","7","Bambara beans","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-09"
"7.1","7","Vetches","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-1"
"7.9","7","Leguminous crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/7-9"
"8","","Sugar crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/8"
"8.01","8","Sugar beet","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/8-01"
"8.02","8","Sugar cane","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/8-02"
"8.03","8","Sweet sorghum","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/8-03"
"8.9","8","Other sugar crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/8-9"
"9","","Other crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9"
"9.01","9","Grasses and other fodder crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-01"
"9.01.01","9.01","Temporary grass and fodder crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-01-01"
"9.01.02","9.01","Permanent grass and fodder crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-01-02"
"9.02","9","Fibre crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02"
"9.02.01","9.02","Temporary fibre crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-01"
