 "code" , "broader" , "label_en" , "label_ar" , "label_zh" , "label_es" , "label_fr" , "label_ru" , "alternative_label" , "definition" , "note" , "concept" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1121" , "012.112" , "Sawlogs and veneer logs, tropical non-coniferous, for sawnwood and railway sleepers" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1121" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1122" , "012.112" , "Sawlogs and veneer logs, tropical non-coniferous, for veneer sheets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1122" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1129" , "012.112" , "Sawlogs and veneer logs, tropical non-coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1129" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.119" , "012.11" , "Other sawlogs and veneer logs" ,   ,   ,   ,   ,   ,   , "Roundwood that will be sawn (or chipped) lengthways for the manufacture of sawnwood or railway sleepers (ties) or used for the production of veneer (mainly by peeling or slicing). 
It includes: roundwood (whether or not it is roughly squared) that will be used for these purposes; shingle bolts and stave bolts; match billets and other special types of roundwood (e.g. burls and roots, etc.) used for veneer production." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.119" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1191" , "012.119" , "Other sawlogs and veneer logs, for sawnwood and railway sleepers" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1191" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1192" , "012.119" , "Other sawlogs and veneer logs, for veneer sheets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1192" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1199" , "012.119" , "Other sawlogs and veneer logs, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1199" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.12" , "012.1" , "Pulpwood, round and split and wood for wood-based panels" ,   ,   ,   ,   ,   ,   , "Roundwood that will be used for the production of pulp, particleboard, oriented strand board (OSB) or fibreboard. 
It includes: roundwood (with or without bark) that will be used for these purposes in its round form or as splitwood or wood chips made directly (i.e. in the forest) from roundwood" ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.12" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.121" , "012.12" , "Pulpwood and wood for wood-based panels, coniferous" ,   ,   ,   ,   ,   ,   , "Roundwood that will be used for the production of pulp, particleboard, oriented strand board (OSB) or fibreboard. 
It includes: roundwood (with or without bark) that will be used for these purposes in its round form or as splitwood or wood chips made directly (i.e. in the forest) from roundwood" ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.121" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1211" , "012.121" , "Pulpwood and wood for wood-based panels, coniferous, for pulp" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1211" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1212" , "012.121" , "Pulpwood and wood for wood-based panels, coniferous, for particle board" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1212" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1213" , "012.121" , "Pulpwood and wood for wood-based panels, coniferous, for fibreboard" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1213" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1214" , "012.121" , "Pulpwood and wood for wood-based panels, coniferous, for wood wool" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1214" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1219" , "012.121" , "Pulpwood and wood for wood-based panels, coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1219" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
