authors,doi,C_product,T_product,T_product_simple,C_product_simple,out_subindicator,T_out_sample_size,C_out_mean,C_out_sd,T_out_mean,T_out_sd,T_out_cv,C_out_cv,has_sd,T_out_cv_average,C_out_cv_average,T_out_cv_filled,C_out_cv_filled,lnRR_all_cases,var_all_cases,lnRR_missing_cases,var_missing_cases
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,117.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.14870600364672512,0.01237279505346345,0.14870600364672512,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,112.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.10599798824821033,0.01237279505346345,0.10599798824821033,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,119.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.16897696802034415,0.01237279505346345,0.16897696802034415,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,98.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.02613506943797931,0.01237279505346345,-0.02613506943797931,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,102.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.013710839109220246,0.01237279505346345,0.013710839109220246,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,125.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.21473658516981103,0.01237279505346345,0.21473658516981103,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,97.5,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.035323495492385615,0.01237279505346345,-0.035323495492385615,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,84.9,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.1737017801788854,0.01237279505346345,-0.1737017801788854,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,166.7,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.04670190675781152,0.01237279505346345,0.04670190675781152,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,201.9,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.23827864231985524,0.01237279505346345,0.23827864231985524,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,153,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.03905596160650112,0.01237279505346345,-0.03905596160650112,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,237.5,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.4006737404757592,0.01237279505346345,0.4006737404757592,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,197.8,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.21776253618967512,0.01237279505346345,0.21776253618967512,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,223.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.3390222758471756,0.01237279505346345,0.3390222758471756,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,182.9,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.13944567239788352,0.01237279505346345,0.13944567239788352,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,116.7,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.3098873437064263,0.01237279505346345,-0.3098873437064263,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,159.4,NA,205,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.25351609613947146,0.01237279505346345,0.25351609613947146,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,43.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.10164091161592274,0.01237279505346345,0.10164091161592274,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,40.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.034630201332962386,0.01237279505346345,0.034630201332962386,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,44.9,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.1402382111140665,0.01237279505346345,0.1402382111140665,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,48.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.21115943742241272,0.01237279505346345,0.21115943742241272,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,47,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.1859480180759166,0.01237279505346345,0.1859480180759166,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,36.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.06415134322682144,0.01237279505346345,-0.06415134322682144,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,47.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.19863317760323237,0.01237279505346345,0.19863317760323237,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,39.1,NA,26.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.3908355734818716,0.01237279505346345,-0.3908355734818716,0.01237279505346345
